veri,yapilandirma,F,P,k,G,sifreli_deger,ciphertext,tohum,epoch,auc,ci95_alt,ci95_ust,n,sure_s,auc_kat_ort,auc_Normal_vs_Non-COVID,auc_Normal_vs_COVID-19,auc_Non-COVID_vs_COVID-19
akciğer grafisi (COVID-QU-Ex),F64_G32,64,0,,32,5123,1,2,5,0.9953499785097102,0.994364118087226,0.9962002443422144,6788,178.17473410000093,,0.9907635095054984,0.9994735917897488,0.9993398734417668
akciğer grafisi (COVID-QU-Ex),F64_G32,64,0,,32,5123,1,3,5,0.9948700323660108,0.9937697877919206,0.9959110396053428,6788,178.2986993000377,,0.9894112108051156,0.9994515442998458,0.9992203390144618
akciğer grafisi (COVID-QU-Ex),F64_G32,64,0,,32,5123,1,4,5,0.9951472574734492,0.9941883533337617,0.9961150376856668,6788,178.3243691000389,,0.9906832426961352,0.9994121319727626,0.9993113334389684
akciğer grafisi (COVID-QU-Ex),U32,0,0,,32,1024,1,1,5,0.9941081204908722,0.9930931044140044,0.9951058351594978,6788,174.97103829996195,,0.988702291026295,0.9991801455524556,0.9991317538109707
akciğer grafisi (COVID-QU-Ex),U32,0,0,,32,1024,1,2,5,0.994014931789545,0.9929420170455592,0.9951158344140056,6788,175.06306459999178,,0.988039000958224,0.9992597506487424,0.999075415104148
akciğer grafisi (COVID-QU-Ex),U32,0,0,,32,1024,1,3,5,0.994261452878476,0.9931857358161348,0.9952104597236168,6788,175.22026930004358,,0.9886525131600232,0.9992747741595616,0.999139722772791
akciğer grafisi (COVID-QU-Ex),U32,0,0,,32,1024,1,4,5,0.9936976524484514,0.9925904329555676,0.9947563255408312,6788,175.35704550007358,,0.9881178159131542,0.9990582014711334,0.9991252674466984
akciğer grafisi (COVID-QU-Ex),U64,0,0,,64,4096,1,1,5,0.9948126057129972,0.9938501031409136,0.9957345949588764,6788,175.39769050001632,,0.9898930190690708,0.999309308723392,0.999435871632998
akciğer grafisi (COVID-QU-Ex),U64,0,0,,64,4096,1,2,5,0.9950260910840534,0.9940518453022904,0.9959410535947112,6788,175.55612069997005,,0.9902418789485256,0.9992944803231032,0.9994067756561188
akciğer grafisi (COVID-QU-Ex),U64,0,0,,64,4096,1,3,5,0.9951744256462756,0.9941280557387204,0.9960737037329151,6788,175.50291639997158,,0.9900456711923044,0.999299553196886,0.9993524755209244
akciğer grafisi (COVID-QU-Ex),U64,0,0,,64,4096,1,4,5,0.9948339597210188,0.993837234515571,0.9958181981599251,6788,175.4951243000105,,0.9901066490784873,0.999296236317874,0.9993828687706579
