veri,yontem,model,temsil,sifreli_deger,ciphertext,sifreli_slot,tekrar,istemci_on_isleme_s,sifreleme_s,sunucu_s,cozme_s,toplam_s,uctan_uca_s,yukleme_MB,indirme_MB
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,F64_G32,5120,2,5120,2,0.004517299879807979,0.020300199976190925,0.571520600002259,0.002072200062684715,0.5938930000411347,0.5984102999209426,1.711865,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,U64,4096,1,4096,0,0.0034198000212199986,0.011161600006744266,1.377021599910222,0.00479439995251596,1.3929775998694822,1.3963973998907022,0.855934,1.378969
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,U64,4096,1,4096,0,0.0034198000212199986,0.009439000044949353,1.3597654000623152,0.004509299993515015,1.3737137001007795,1.3771335001219995,0.855214,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,U64,4096,1,4096,1,0.0034198000212199986,0.009922600002028048,1.2562868000240996,0.004646699992008507,1.2708561000181362,1.2742759000393562,0.855109,1.377144
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,U64,4096,1,4096,1,0.0034198000212199986,0.009278499986976385,1.2702266999986023,0.004505299963057041,1.2840104999486357,1.2874302999698557,0.85525,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D,D,U64,4096,1,4096,2,0.0034198000212199986,0.009960700059309602,1.3002099000150338,0.004603800014592707,1.314774400088936,1.318194200110156,0.855559,1.378857
akciğer grafisi (COVID-QU-Ex),FoveaHE-D (PiROI.run),D,U64,4096,1,4096,2,0.0034198000212199986,0.010668700095266104,1.3030164999654517,0.004708099993877113,1.3183933000545949,1.3218131000758149,0.856331,
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,U64,4096,1,4096,0,0.0030638498719781637,0.010491600027307868,1.3643129999982193,0.001878499984741211,1.3766831000102684,1.3797469498822466,0.854558,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,U64,4096,1,4096,1,0.0030638498719781637,0.00990910001564771,1.3369956000242382,0.0021572000114247203,1.3490619000513107,1.3521257499232888,0.855808,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-D2,D2,U64,4096,1,4096,2,0.0030638498719781637,0.009568999987095594,1.412568699917756,0.0019619999220594764,1.424099699826911,1.4271635496988893,0.856124,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,U64,4096,1,4096,0,0.003008350031450391,0.01371069997549057,0.3155383999692276,0.001935299951583147,0.33118439989630133,0.3341927499277517,0.855289,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,U64,4096,1,4096,1,0.003008350031450391,0.010951100033707917,0.27401920000556856,0.001863999990746379,0.28683430003002286,0.28984265006147325,0.855259,0.786873
akciğer grafisi (COVID-QU-Ex),FoveaHE-C,C,U64,4096,1,4096,2,0.003008350031450391,0.010935100028291345,0.2760862000286579,0.0019218999659642577,0.2889432000229135,0.2919515500543639,0.855892,0.786873
