veri,politika,adim,gizli_alan,auc,sabit_gizli_alan,gorunur_piksel,eklenen_yamalar,sure_dk,hiz_kazanci_256,hiz_kazanci_512
brain,sizinti_gudumlu,1,0.3962243261418098,0.9099863131111364,0.3960857780612244,30302,49 41 54 32,19.35038414000009,2.4123460656089453,2.4881052830465107
brain,sizinti_gudumlu,2,0.4570645077383597,0.8956863576781258,0.4569316007653061,27249,15 8 9 17,19.35038414000009,2.1111101716463927,2.164476495843029
brain,sizinti_gudumlu,3,0.5161963636057066,0.900864042794756,0.5160634566326531,24282,53 52 31 24,19.35038414000009,1.86652374333466,1.9207856084625796
brain,sizinti_gudumlu,4,0.568112963984194,0.8995311257458356,0.5679807079081632,21677,46 14 23 38,19.35038414000009,1.664393298445789,1.7465268141879111
brain,sizinti_gudumlu,5,0.6234309972287905,0.8933475167942829,0.6233059630102041,18901,47 39 50 22,19.35038414000009,1.4922108456606622,1.592577786486868
brain,sizinti_gudumlu,6,0.672378701310423,0.8892558663759017,0.6722536670918368,16445,30 55 1 63,19.35038414000009,1.3670725885959694,1.4773516084682845
brain,sizinti_gudumlu,7,0.7200343438065349,0.8924791979894414,0.7199457908163265,14052,7 33 13 51,19.35038414000009,1.2638801653053466,1.3801321538670763
brain,sizinti_gudumlu,8,0.7781671037388518,0.8720418316887472,0.7780811543367347,11135,25 56 40 16,19.35038414000009,1.1617869859879766,1.277556999798624
brain,sizinti_gudumlu,9,0.8406629194008475,0.8589024334840959,0.8405811543367347,7999,48 3 4 2,19.35038414000009,1.0739777483979336,1.183014962929799
brain,sizinti_gudumlu,10,0.8839214115613196,0.8421996441844356,0.8838687818877551,5827,0 6 42 10,19.35038414000009,1.0205848784911982,1.1253701167870178
brain,sizinti_gudumlu,11,0.94642141156132,0.8586168768366266,0.9463687818877552,2691,62 57 58 59,19.35038414000009,1.0004980298193225,1.0537845292488137
brain,sizinti_gudumlu,12,0.9955484842654012,0.8107276700818682,0.9954958545918368,226,61 60 45 5,19.35038414000009,1.0000413593510544,1.0042586089449295
brain,sizinti_gudumlu,13,1.0,0.5,1.0,0,11 12 18 34,19.35038414000009,1.0,1.0
brain,rastgele_0,2,0.4344848280243278,0.9131623359565108,0.4343710140306122,28381,,19.35038414000009,2.2137021913518558,2.2742623087203104
brain,rastgele_0,4,0.5294660772308533,0.9160566151628778,0.5293566645408163,23615,,19.35038414000009,1.8103298917413542,1.8730198013976929
brain,rastgele_0,6,0.6319000973493986,0.9126148280984748,0.6317960778061225,18475,,19.35038414000009,1.4689455189025908,1.5713721515343086
brain,rastgele_0,8,0.7357978298969275,0.8937138218188313,0.7357302295918368,13260,,19.35038414000009,1.233091595712212,1.3507302219967658
brain,rastgele_0,10,0.8185959295751736,0.8942199944387129,0.8185786033163265,9103,,19.35038414000009,1.1034252720804938,1.2147563575006601
brain,rastgele_0,12,0.9375024796077064,0.8621169279774933,0.9375,3136,,19.35038414000009,1.000580982260971,1.0633045219511548
brain,rastgele_0,13,1.0,0.5,1.0,0,,19.35038414000009,1.0,1.0
brain,rastgele_1,2,0.4242946321948297,0.9090435157047642,0.4242067920918367,28891,,19.35038414000009,2.263340541357402,2.3275412375417046
brain,rastgele_1,4,0.5171538951165613,0.8969583812149572,0.5170798788265306,24231,,19.35038414000009,1.8623523182730004,1.917257461132456
brain,rastgele_1,6,0.6220180547675914,0.8857941806694676,0.6219507334183674,18969,,19.35038414000009,1.496164238280559,1.596171462992192
brain,rastgele_1,8,0.7340809805162344,0.8812993647090667,0.734016262755102,13346,,19.35038414000009,1.2363718889185418,1.3538715449066436
brain,rastgele_1,10,0.8499424483051384,0.8775216676422631,0.8499083227040817,7531,,19.35038414000009,1.0620588187392073,1.1701572453217317
brain,rastgele_1,12,0.9375,0.8583224413736543,0.9375,3136,,19.35038414000009,1.0005810053250075,1.0633071925808621
brain,rastgele_1,13,1.0,0.5,1.0,0,,19.35038414000009,1.0,1.0
