veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
akciğer grafisi (COVID-QU-Ex),7867,0,2,paket,0.010766899911686778,1,8192,856128,4,3.422952,28056,,
akciğer grafisi (COVID-QU-Ex),7873,0,1,paket,0.01039499999023974,1,8192,855280,2,1.711476,11809,,
akciğer grafisi (COVID-QU-Ex),7908,0,2,paket,0.01196679996792227,1,8192,855346,4,3.422952,25696,,
akciğer grafisi (COVID-QU-Ex),7912,0,3,paket,0.009895599912852049,1,8192,855174,2,1.711476,13807,,
akciğer grafisi (COVID-QU-Ex),7914,0,2,paket,0.009940599906258285,1,8192,855979,2,1.711476,13668,,
akciğer grafisi (COVID-QU-Ex),7920,0,0,paket,0.010220299940556288,1,8192,855251,2,1.711476,14928,,
akciğer grafisi (COVID-QU-Ex),7925,0,0,paket,0.010331599973142147,1,8192,855166,1,0.855738,8116,,
akciğer grafisi (COVID-QU-Ex),7939,0,3,paket,0.010168700013309717,1,8192,856149,3,2.567214,17184,,
akciğer grafisi (COVID-QU-Ex),7965,0,4,paket,0.013566000037826598,1,8192,855964,1,0.855738,7067,,
akciğer grafisi (COVID-QU-Ex),7983,0,4,paket,0.010026099975220859,1,8192,854407,2,1.711476,11691,,
akciğer grafisi (COVID-QU-Ex),7992,0,2,paket,0.010075600002892315,1,8192,856117,2,1.711476,13498,,
akciğer grafisi (COVID-QU-Ex),7995,0,2,paket,0.01208529993891716,1,8192,855493,2,1.711476,12160,,
akciğer grafisi (COVID-QU-Ex),8030,0,0,paket,0.009904199978336692,1,8192,856303,4,3.422952,26081,,
akciğer grafisi (COVID-QU-Ex),8031,0,4,paket,0.010733700008131564,1,8192,856088,3,2.567214,18358,,
akciğer grafisi (COVID-QU-Ex),8041,0,1,paket,0.009977500070817769,1,8192,856110,3,2.567214,19640,,
akciğer grafisi (COVID-QU-Ex),8047,0,1,paket,0.010430300026200712,1,8192,855624,2,1.711476,9676,,
akciğer grafisi (COVID-QU-Ex),8049,0,4,paket,0.010860000038519502,1,8192,855374,2,1.711476,10582,,
akciğer grafisi (COVID-QU-Ex),8055,0,3,paket,0.010344799957238138,1,8192,855738,2,1.711476,11634,,
akciğer grafisi (COVID-QU-Ex),8061,0,0,paket,0.010748800006695092,1,8192,855309,3,2.567214,17167,,
