veri,model,temsil,temsil_turu,sifreli_deger,tohum,auc,ci95_alt,ci95_ust,n,epoch_ort,wd_secilen,lr_secilen,sinirda,aktarim_hatasi,en_buyuk_ara_deger,sure_s,auc_kat_ort
beyin MR (Cheng),C,U90,es_ornekli,8100,0,0.8469425458279499,0.8210643012556985,0.8707191259102097,3064,7.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.482071761316206e-06,40.29606712431078,10.161139300093057,0.8515756588265354
beyin MR (Cheng),D,U90,es_ornekli,8100,0,0.8805389337720007,0.8544031007039303,0.9026859936786472,3064,5.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.1586872048496843e-06,14.412237004565648,11.174739300040528,0.8823327323323685
beyin MR (Cheng),C,F45_G78,odakli,8109,0,0.9359470749890628,0.9174745618250776,0.9520224491093844,3064,30.6,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.7573879080856614e-06,66.6915876857076,19.05846929992549,0.9393119487584728
beyin MR (Cheng),D,F45_G78,odakli,8112,0,0.9507384666426488,0.9337446050285908,0.9653107172745846,3064,5.8,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.7099999727321349e-06,21.176602311254864,10.073652800056152,0.9510744345461136
beyin MR (Cheng),C,F64_G63,odakli,8065,0,0.907349691955853,0.8869030388062663,0.9263009841738336,3064,6.6,10/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.4889775565029022e-06,78.30922588044953,13.337944900034929,0.9179229972298864
beyin MR (Cheng),D,F64_G63,odakli,8068,0,0.9488830785351072,0.9292868466445232,0.9651823096371972,3064,7.2,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,1.168713751553696e-06,18.91069992977265,11.833655300084502,0.9500416989135512
beyin MR (Cheng),C,F78_G45,odakli,8109,0,0.9387770158263078,0.92309563728884,0.9524056184111912,3064,37.8,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,1.934337868991776e-06,44.34244360687835,18.773574499995448,0.9397154921638072
beyin MR (Cheng),D,F78_G45,odakli,8112,0,0.946294034827872,0.9261035984285116,0.9627325756380196,3064,7.6,10/10/10/10/10,0.001/0.001/0.001/0.001/0.001,,8.519591094824364e-07,20.19845153663333,14.347336700069718,0.9480077187887972
beyin MR (Cheng),C,F90,odakli,8100,0,0.8915489624446504,0.869547015491018,0.9123248127713004,3064,36.2,1/1/1/1/1,0.001/0.001/0.001/0.001/0.001,,2.9544902986344823e-06,61.30883219056705,16.150092900032178,0.8933614464684837
beyin MR (Cheng),D,F90,odakli,8103,0,0.8696340671213741,0.8397727560497243,0.8942402848090582,3064,6.0,100/10/10/100/100,0.0001/0.001/0.001/0.0001/0.0001,,9.5554936052622e-07,18.599826558840228,14.477019399986602,0.8721402254869389
akciğer grafisi (COVID-QU-Ex),C,U32,es_ornekli,1024,0,0.918887366006212,0.9131414648288352,0.9242425529843906,6788,46.0,0.01,0.001,,2.1450716034543404e-06,20.54121415382412,43.25259370007552,
akciğer grafisi (COVID-QU-Ex),D,U32,es_ornekli,1024,0,0.8540444820427209,0.8470925230290359,0.8609321475357992,6788,29.0,0.0001,0.001,,5.344370681559241e-07,4.576458151123488,26.49316460010596,
akciğer grafisi (COVID-QU-Ex),C,F16_G27,odakli,985,0,0.9290602395719788,0.9240557725787122,0.9343184646647325,6788,23.0,0.01,0.001,,1.910215930767123e-06,20.01798178894403,48.63240700005554,
akciğer grafisi (COVID-QU-Ex),D,F16_G27,odakli,988,0,0.913592535979556,0.9081447356562768,0.9194349264869492,6788,18.0,0.0001,0.001,,8.400384281515016e-07,5.167938872065994,22.92601280007512,
akciğer grafisi (COVID-QU-Ex),C,F22_G23,odakli,1013,0,0.9322114203026652,0.9268932177658706,0.9371738763325864,6788,34.0,0.0001,0.001,,2.559280205538528e-06,22.576160243210893,61.33539689995814,
akciğer grafisi (COVID-QU-Ex),D,F22_G23,odakli,1016,0,0.9146101340701284,0.9089720714510776,0.9204590808914412,6788,18.0,0.0001,0.001,,6.085370607422647e-07,6.072065286728774,21.65953810000792,
akciğer grafisi (COVID-QU-Ex),C,F27_G17,odakli,1018,0,0.9308275077148424,0.9256571173199024,0.9361182654823872,6788,44.0,0.01,0.001,,2.5055323060740875e-06,14.354007421994586,52.95614789996762,
akciğer grafisi (COVID-QU-Ex),D,F27_G17,odakli,1021,0,0.9146403167040216,0.9088221320190184,0.9202097017977195,6788,18.0,0.0001,0.001,,4.717764332529129e-07,5.3645644973289,21.57331859995611,
akciğer grafisi (COVID-QU-Ex),C,F31,odakli,961,0,0.9160983580570746,0.910777134240515,0.9215685787578188,6788,38.0,0.01,0.001,,2.8532081484122784e-06,3.753745646134034,33.99072530004196,
akciğer grafisi (COVID-QU-Ex),D,F31,odakli,964,0,0.8999765443272524,0.8943950456455266,0.905589146272434,6788,29.0,0.0001,0.001,,9.333343683470828e-07,6.070176536276863,26.92845219990704,
akciğer grafisi (COVID-QU-Ex),C,U45,es_ornekli,2025,0,0.9210459098551516,0.9156481861755504,0.926147936171074,6788,29.0,0.01,0.001,,2.785889288148269e-06,33.58794759585462,34.95617050002329,
akciğer grafisi (COVID-QU-Ex),D,U45,es_ornekli,2025,0,0.8661022054904493,0.8594961815618782,0.8729879415938585,6788,31.0,0.01,0.001,,5.563826190879695e-07,8.27664933883276,29.74065180006437,
akciğer grafisi (COVID-QU-Ex),C,F22_G39,odakli,2005,0,0.9397608011068056,0.9352274294463496,0.9443652110828868,6788,36.0,0.01,0.001,,2.370292297548815e-06,18.917095564276547,57.4497502000304,
akciğer grafisi (COVID-QU-Ex),D,F22_G39,odakli,2008,0,0.9160386996377752,0.91022302054629,0.921586264203604,6788,18.0,0.0001,0.001,,6.520101325513394e-07,7.170804240148791,22.066131900064647,
akciğer grafisi (COVID-QU-Ex),C,F32_G31,odakli,1985,0,0.933512298081054,0.928918635873611,0.938095525345084,6788,29.0,0.01,0.001,,3.7751140609110223e-06,37.84811548721765,41.7054736999562,
akciğer grafisi (COVID-QU-Ex),D,F32_G31,odakli,1988,0,0.9159683424361236,0.9102052715706672,0.9213960536193654,6788,18.0,0.0001,0.001,,7.642250139383577e-07,8.887781288119509,22.828534899977967,
akciğer grafisi (COVID-QU-Ex),C,F39_G22,odakli,2005,0,0.9332973544731004,0.9283705891268084,0.9377992561396136,6788,39.0,0.01,0.001,,2.517226318055066e-06,29.340441654023884,56.16309629997704,
akciğer grafisi (COVID-QU-Ex),D,F39_G22,odakli,2008,0,0.91736700052255,0.9114186032872756,0.9226724116179216,6788,43.0,0.0001,0.001,,5.531081743725963e-07,9.064875778459427,31.01575799996499,
akciğer grafisi (COVID-QU-Ex),C,F45,odakli,2025,0,0.9191627297086616,0.9138118568698792,0.9240120079702584,6788,39.0,0.01,0.001,,1.5623852311907882e-06,30.69308153793232,41.04353190003894,
akciğer grafisi (COVID-QU-Ex),D,F45,odakli,2028,0,0.9016411544225184,0.8959307491984801,0.9071671124427312,6788,13.0,0.0001,0.001,,5.711789334839068e-07,10.277062670917095,20.31927610002458,
akciğer grafisi (COVID-QU-Ex),C,U64,es_ornekli,4096,0,0.9164363735989756,0.9107624851726724,0.9217782694733788,6788,25.0,0.01,0.001,,1.840345852599512e-06,26.5315244855843,32.63958519999869,
akciğer grafisi (COVID-QU-Ex),D,U64,es_ornekli,4096,0,0.8676045411397438,0.8608719341254132,0.8744141979749837,6788,33.0,0.01,0.001,,1.0013849974788158e-06,11.681189721525644,27.55333190003876,
akciğer grafisi (COVID-QU-Ex),C,F32_G55,odakli,4049,0,0.9331604101578534,0.9283075727135864,0.9375778027021858,6788,24.0,0.01,0.001,,2.0854558360206e-06,45.58379186768588,46.34264879999682,
