size,rho_hedef,rho,tekrar,sifreleme_s,sunucu_s,cozme_s,toplam_s,ciphertext_sayisi,sifreli_slot,yukleme_MB
128,0.75,0.75201416015625,2,0.02574879996245727,3.8150638000224717,0.018325700017157942,3.859138300002087,2,16384,
128,0.9,0.89361572265625,0,0.03072709997650236,3.711301499977708,0.01923860004171729,3.7612671999959275,2,16384,1.711248
128,0.9,0.89361572265625,1,0.031225799990352243,3.790244999981951,0.018566999991890043,3.8400377999641933,2,16384,
128,0.9,0.89361572265625,2,0.02474869997240603,3.7115461000357755,0.018090599973220378,3.754385399981402,2,16384,
128,1.0,1.0,0,0.027622500027064234,3.764345499977935,0.017904400010593235,3.8098724000155926,2,16384,1.712083
128,1.0,1.0,1,0.0235370000009425,3.732273700006772,0.02223719999892637,3.7780479000066407,2,16384,
128,1.0,1.0,2,0.024244700034614652,3.436736000003293,0.01697350002359599,3.477954200061504,2,16384,
256,0.01,0.01031494140625,0,0.010304800001904368,1.5075936000212096,0.018695899983868003,1.536594300006982,1,1024,0.855916
256,0.01,0.01031494140625,1,0.011630200024228543,1.6957578000146896,0.018090599973220378,1.7254786000121385,1,1024,
256,0.05,0.0495758056640625,0,0.011545600020326674,2.0051241999608465,0.019974700000602752,2.036644499981776,1,4096,0.855457
256,0.05,0.0495758056640625,1,0.013397200033068657,2.0104237999767065,0.01864030002616346,2.0424613000359386,1,4096,
256,0.1,0.1001129150390625,0,0.012078700005076826,2.09595609997632,0.0173804999794811,2.1254152999608777,1,8192,0.85597
256,0.1,0.1001129150390625,1,0.01535390003118664,2.1153348999796435,0.018332300009205937,2.149021100020036,1,8192,
256,0.25,0.25,0,0.02423740003723651,3.7945674000075087,0.023105199972633272,3.8419100000173785,2,16384,1.711281
256,0.25,0.25,1,0.030659999989438802,3.6798732000170276,0.019202099996618927,3.7297353000030853,2,16384,
256,0.5,0.4998931884765625,0,0.06271979998564348,7.272712000005413,0.021893299999646842,7.357325099990703,4,32768,3.423507
256,0.5,0.4998931884765625,1,0.04991950001567602,7.1944169999915175,0.020903099968563765,7.265239599975757,4,32768,
256,0.75,0.75201416015625,0,0.09151349996682256,11.794892799982335,0.022968799981754273,11.909375099930912,7,49408,5.989557
256,0.75,0.75201416015625,1,0.09642859996529296,12.055627800000366,0.023493500018958002,12.175549899984617,7,49408,
256,0.9,0.9010162353515625,0,0.10073440003907308,14.053594600001816,0.0184103999636136,14.172739400004502,8,59392,6.845393
256,0.9,0.9010162353515625,1,0.10683390003396198,14.050029100035317,0.023298600048292428,14.180161600117572,8,59392,
256,1.0,1.0,0,0.13438050000695512,14.42417650000425,0.01810240000486374,14.57665940001607,8,65536,6.843938
256,1.0,1.0,1,0.10022100002970546,14.468723499972839,0.022273399983532727,14.591217899986077,8,65536,
512,0.01,0.009922027587890625,0,0.014910199970472604,2.038270700024441,0.018725299974903464,2.071906199969817,1,4096,0.856251
512,0.05,0.0495758056640625,0,0.024053499975707382,3.8473013999755494,0.020741700020153075,3.89209659997141,2,16384,1.710836
512,0.1,0.1001129150390625,0,0.04937029996654019,7.006194400019012,0.018228799977805465,7.073793499963358,4,26624,3.421675
512,0.25,0.25,0,0.10497899999609217,14.210680000018328,0.0241519000264816,14.339810900040902,8,65536,6.843787
512,0.5,0.4998931884765625,0,0.2383038999978453,28.918963600008283,0.023891399963758886,29.181158899969887,16,131072,13.694329
512,0.75,0.7486305236816406,0,0.327097799978219,41.67632040003082,0.018227199965622276,42.02164539997466,24,196608,20.536893
512,0.9,0.9010162353515625,0,0.378533500013873,51.51093290001154,0.01939989998936653,51.90886630001478,29,237568,24.813047
512,1.0,1.0,0,0.4106014000135474,56.202304500038736,0.024205600027926266,56.63711150008021,32,262144,27.381497
